Dimension,Status,Comments
PRODUCT,Pass,
PROD_LVL,Pass,
SPECIALTY,Pass,
SUB_SPECIALTY,Pass,
SP_SOURCE,Pass,
ds,Pass,
INDICATION,Pass,
MARKET_FLAG,Pass,
LEVEL_0_MARKET_FLAG,Pass,
BIOSIMILAR_MOLECULE,Pass,
CLASS,Pass,
METRIC,Pass,
COMPETITIVE_RX,Fail,Column contains Zeros
TOTAL_RX,Fail,Column contains Zeros
ALLOCATED_WITHOUT_FDAP_RX,Fail,Column contains Zeros
ALLOCATED_WITH_FDAP_RX,Fail,Column contains Zeros
