,Key,ds,y
114,Others,2023-01-13,0.032906026042192386
115,Others,2023-01-20,0.046474130981173235
116,Others,2023-01-27,0.052374301675977654
117,Others,2023-02-03,0.04988810145468109
118,Others,2023-02-10,0.04604828042328042
119,Others,2023-02-17,0.04305686594047517
120,Others,2023-02-24,0.034802158273381296
121,Others,2023-03-03,0.03741583567714992
122,Others,2023-03-10,0.043292310377934885
123,Others,2023-03-17,0.039125037455588374
124,Others,2023-03-24,0.04813684617698886
125,Others,2023-03-31,0.05551883674818242
126,Others,2023-04-07,0.03938599131444297
127,Others,2023-04-14,0.038781405935393504
128,Others,2023-04-21,0.03818656620574511
129,Others,2023-04-28,0.04945607060159902
130,Others,2023-05-05,0.04506159014557671
131,Others,2023-05-12,0.044744834666552595
132,Others,2023-05-19,0.04012053379250968
133,Others,2023-05-26,0.03314820483666419
134,Others,2023-06-02,0.04142679760695338
135,Others,2023-06-09,0.05978810392579241
136,Others,2023-06-16,0.03802585402692017
137,Others,2023-06-23,0.04661220567035079
138,Others,2023-06-30,0.034730052771638625
139,Others,2023-07-07,0.038786552374004496
140,Others,2023-07-14,0.04315904355590833
141,Others,2023-07-21,0.042450827791141926
142,Others,2023-07-28,0.042606516290726815
143,Others,2023-08-04,0.057291200429684004
144,Others,2023-08-11,0.050415537903485005
145,Others,2023-08-18,0.051772754587898116
146,Others,2023-08-25,0.048115477145148355
147,Others,2023-09-01,0.0470169523274328
148,Others,2023-09-08,0.043668122270742356
149,Others,2023-09-15,0.06686239227199546
150,Others,2023-09-22,0.04909582558729086
151,Others,2023-09-29,0.033710459478180556
152,Others,2023-10-06,0.04665438919582566
153,Others,2023-10-13,0.042471387696709585
154,Others,2023-10-20,0.05401241560560062
155,Others,2023-10-27,0.05665471606249724
156,Others,2023-11-03,0.05859486109794254
157,Others,2023-11-10,0.045955625843062474
158,Others,2023-11-17,0.054593760713061365
159,Others,2023-11-24,0.060444993819530286
160,Others,2023-12-01,0.04902876354127755
161,Others,2023-12-08,0.039907276941957184
162,Others,2023-12-15,0.03350970017636684
163,Others,2023-12-22,0.031353711790393014
164,Others,2023-12-29,0.036490441496979886
165,Others,2024-01-05,0.030842382574053848
166,Others,2024-01-12,0.024014975117563803
167,Others,2024-01-19,0.037023631004705515
168,Others,2024-01-26,0.043972179289026275
169,Others,2024-02-02,0.0328723037431516
170,Others,2023-01-06,0.0022740953782355694
171,Others,2023-01-13,0.002472998889673968
172,Others,2023-01-20,0.005453597002892777
173,Others,2023-01-27,0.006503142458100558
174,Others,2023-02-03,0.00489556135770235
175,Others,2023-02-10,0.005828373015873016
176,Others,2023-02-17,0.005274894930954626
177,Others,2023-02-24,0.004226618705035971
178,Others,2023-03-03,0.009119577260717633
179,Others,2023-03-10,0.002356637863315004
180,Others,2023-03-17,0.0010273532811095416
181,Others,2023-03-24,0.0024928009627369235
182,Others,2023-03-31,0.0028916060806345014
183,Others,2023-04-07,0.0025368706195984005
184,Others,2023-04-14,0.00262628031165193
185,Others,2023-04-21,0.0006421507770024402
186,Others,2023-04-28,0.005330071213246536
187,Others,2023-05-05,0.0004927211646136618
188,Others,2023-05-12,0.0020533002523848228
189,Others,2023-05-19,0.0005596211795092553
190,Others,2023-05-26,0.0026675995976735032
191,Others,2023-06-02,0.00011287955751213455
192,Others,2023-06-09,0.007517474831845958
193,Others,2023-06-16,0.006130336280040869
194,Others,2023-06-23,0.005382027871215762
195,Others,2023-06-30,0.006089035226196382
196,Others,2023-07-07,0.0007903216000972702
197,Others,2023-07-14,0.002480404802063697
198,Others,2023-07-21,0.0015093627659072686
199,Others,2023-07-28,0.0023670286828181564
200,Others,2023-08-04,0.003088353773162653
201,Others,2023-08-11,0.004407915882271914
202,Others,2023-08-18,0.005084824111311423
203,Others,2023-08-25,0.0019602601799875254
204,Others,2023-09-01,0.0008429334082607474
205,Others,2023-09-08,0.0006862133499688085
206,Others,2023-09-15,0.00014205890709347477
207,Others,2023-09-22,0.0004225114078080108
208,Others,2023-09-29,0.005633802816901409
209,Others,2023-10-06,0.0005261773217574323
210,Others,2023-10-13,0.003665951359084407
211,Others,2023-10-20,0.0024015587475644568
212,Others,2023-10-27,0.0020360288584959944
213,Others,2023-11-03,0.0005688821465819664
214,Others,2023-11-10,0.0005581654960695846
215,Others,2023-11-17,0.0017140898183064792
216,Others,2023-11-24,0.00037082818294190356
217,Others,2023-12-01,0.002521479267837131
218,Others,2023-12-08,0.0015453843007136039
219,Others,2023-12-15,0.0001392369813422445
220,Others,2023-12-22,0.002925764192139738
221,Others,2023-12-29,0.0
222,Others,2024-01-05,0.005397416950459424
223,Others,2024-01-12,0.0030589416974843627
224,Others,2024-01-19,0.0034645017839598736
225,Others,2024-01-26,0.002241112828438949
226,Others,2024-02-02,0.002950078541052067
227,Others,2023-07-21,0.0
228,Others,2023-07-28,0.0
229,Others,2023-08-04,0.0
230,Others,2023-08-11,0.0001377473713209973
231,Others,2023-08-18,0.0
232,Others,2023-08-25,0.0
