,METRIC,PRODUCT,ds,Key,Contribution
102,MOTRX,ACTEMRA IV,2023-11-17,Others,0.0
103,MOTRX,ACTEMRA IV,2023-11-24,Others,0.0
104,MOTRX,ACTEMRA IV,2023-12-01,Others,0.0
105,MOTRX,ACTEMRA IV,2023-12-08,Others,0.0
106,MOTRX,ACTEMRA IV,2023-12-15,Others,0.0
107,MOTRX,ACTEMRA IV,2023-12-22,Others,0.0
108,MOTRX,ACTEMRA IV,2023-12-29,Others,0.0
109,MOTRX,ACTEMRA IV,2024-01-05,Others,0.0
110,MOTRX,ACTEMRA IV,2024-01-12,Others,0.0
111,MOTRX,ACTEMRA IV,2024-01-19,Others,0.0
112,MOTRX,ACTEMRA IV,2024-01-26,Others,0.0
113,MOTRX,ACTEMRA IV,2024-02-02,Others,0.0
114,MOTRX,ACTEMRA SC,2023-01-06,Others,0.0
115,MOTRX,ACTEMRA SC,2023-01-13,Others,0.0
116,MOTRX,ACTEMRA SC,2023-01-20,Others,0.0
117,MOTRX,ACTEMRA SC,2023-01-27,Others,0.0
118,MOTRX,ACTEMRA SC,2023-02-03,Others,0.0
119,MOTRX,ACTEMRA SC,2023-02-10,Others,0.0
120,MOTRX,ACTEMRA SC,2023-02-17,Others,0.0
121,MOTRX,ACTEMRA SC,2023-02-24,Others,0.0
122,MOTRX,ACTEMRA SC,2023-03-03,Others,0.0
123,MOTRX,ACTEMRA SC,2023-03-10,Others,0.0
124,MOTRX,ACTEMRA SC,2023-03-17,Others,0.0
125,MOTRX,ACTEMRA SC,2023-03-24,Others,0.0
126,MOTRX,ACTEMRA SC,2023-03-31,Others,0.0
127,MOTRX,ACTEMRA SC,2023-04-07,Others,0.0
128,MOTRX,ACTEMRA SC,2023-04-14,Others,0.0
129,MOTRX,ACTEMRA SC,2023-04-21,Others,0.0
130,MOTRX,ACTEMRA SC,2023-04-28,Others,0.0
131,MOTRX,ACTEMRA SC,2023-05-05,Others,0.0
132,MOTRX,ACTEMRA SC,2023-05-12,Others,0.0
133,MOTRX,ACTEMRA SC,2023-05-19,Others,0.0
134,MOTRX,ACTEMRA SC,2023-05-26,Others,0.0
135,MOTRX,ACTEMRA SC,2023-06-02,Others,0.0
136,MOTRX,ACTEMRA SC,2023-06-09,Others,0.0
137,MOTRX,ACTEMRA SC,2023-06-16,Others,0.0
138,MOTRX,ACTEMRA SC,2023-06-23,Others,0.0
139,MOTRX,ACTEMRA SC,2023-06-30,Others,0.0
140,MOTRX,ACTEMRA SC,2023-07-07,Others,0.0
141,MOTRX,ACTEMRA SC,2023-07-14,Others,0.0
142,MOTRX,ACTEMRA SC,2023-07-21,Others,0.0
143,MOTRX,ACTEMRA SC,2023-07-28,Others,0.0
144,MOTRX,ACTEMRA SC,2023-08-04,Others,0.0
145,MOTRX,ACTEMRA SC,2023-08-11,Others,0.0
146,MOTRX,ACTEMRA SC,2023-08-18,Others,0.0
147,MOTRX,ACTEMRA SC,2023-08-25,Others,0.0
148,MOTRX,ACTEMRA SC,2023-09-01,Others,0.0
149,MOTRX,ACTEMRA SC,2023-09-08,Others,0.0
150,MOTRX,ACTEMRA SC,2023-09-15,Others,0.0
151,MOTRX,ACTEMRA SC,2023-09-22,Others,0.0
152,MOTRX,ACTEMRA SC,2023-09-29,Others,0.0
153,MOTRX,ACTEMRA SC,2023-10-06,Others,0.0
154,MOTRX,ACTEMRA SC,2023-10-13,Others,0.0
155,MOTRX,ACTEMRA SC,2023-10-20,Others,0.0
156,MOTRX,ACTEMRA SC,2023-10-27,Others,0.0
157,MOTRX,ACTEMRA SC,2023-11-03,Others,0.0
158,MOTRX,ACTEMRA SC,2023-11-10,Others,0.0
159,MOTRX,ACTEMRA SC,2023-11-17,Others,0.0
160,MOTRX,ACTEMRA SC,2023-11-24,Others,0.0
161,MOTRX,ACTEMRA SC,2023-12-01,Others,0.0
162,MOTRX,ACTEMRA SC,2023-12-08,Others,0.0
163,MOTRX,ACTEMRA SC,2023-12-15,Others,0.0
164,MOTRX,ACTEMRA SC,2023-12-22,Others,0.0
165,MOTRX,ACTEMRA SC,2023-12-29,Others,0.0
166,MOTRX,ACTEMRA SC,2024-01-05,Others,0.0
167,MOTRX,ACTEMRA SC,2024-01-12,Others,0.0
168,MOTRX,ACTEMRA SC,2024-01-19,Others,0.0
169,MOTRX,ACTEMRA SC,2024-01-26,Others,0.0
170,MOTRX,ACTEMRA SC,2024-02-02,Others,0.0
171,MOTRX,AMJEVITA,2023-02-10,Others,0.0
172,MOTRX,AMJEVITA,2023-02-17,Others,0.0007572411181927178
173,MOTRX,AMJEVITA,2023-02-24,Others,0.0
174,MOTRX,AMJEVITA,2023-03-03,Others,0.00071058222739105
175,MOTRX,AMJEVITA,2023-03-10,Others,0.0024371578839620387
176,MOTRX,AMJEVITA,2023-03-17,Others,0.003941440054391873
177,MOTRX,AMJEVITA,2023-03-24,Others,0.006902332002169304
178,MOTRX,AMJEVITA,2023-03-31,Others,0.003640838557936664
179,MOTRX,AMJEVITA,2023-04-07,Others,0.00710653678858053
180,MOTRX,AMJEVITA,2023-04-14,Others,0.005588383936554834
181,MOTRX,AMJEVITA,2023-04-21,Others,0.01441474897569771
182,MOTRX,AMJEVITA,2023-04-28,Others,0.008311624162603866
183,MOTRX,AMJEVITA,2023-05-05,Others,0.009787335188266385
184,MOTRX,AMJEVITA,2023-05-12,Others,0.0070933053384215974
185,MOTRX,AMJEVITA,2023-05-19,Others,0.019922633772184683
186,MOTRX,AMJEVITA,2023-05-26,Others,0.010392145345448467
187,MOTRX,AMJEVITA,2023-06-02,Others,0.01002667623598574
188,MOTRX,AMJEVITA,2023-06-09,Others,0.021177801158470785
189,MOTRX,AMJEVITA,2023-06-16,Others,0.019344413121173878
190,MOTRX,AMJEVITA,2023-06-23,Others,0.020584307098713717
191,MOTRX,AMJEVITA,2023-06-30,Others,0.017399386396322783
192,MOTRX,AMJEVITA,2023-07-07,Others,0.04101599350306663
193,MOTRX,AMJEVITA,2023-07-14,Others,0.04342251708904587
194,MOTRX,AMJEVITA,2023-07-21,Others,0.03444868505742959
195,MOTRX,AMJEVITA,2023-07-28,Others,0.038680758597936266
196,MOTRX,AMJEVITA,2023-08-04,Others,0.04300130406128621
197,MOTRX,AMJEVITA,2023-08-11,Others,0.051681023794128755
198,MOTRX,AMJEVITA,2023-08-18,Others,0.05676851746285106
199,MOTRX,AMJEVITA,2023-08-25,Others,0.03312156996241622
200,MOTRX,AMJEVITA,2023-09-01,Others,0.06113309154852181
201,MOTRX,AMJEVITA,2023-09-08,Others,0.058359026798671686
202,MOTRX,AMJEVITA,2023-09-15,Others,0.047808693063680276
203,MOTRX,AMJEVITA,2023-09-22,Others,0.05104019926093792
204,MOTRX,AMJEVITA,2023-09-29,Others,0.0713864920123367
205,MOTRX,AMJEVITA,2023-10-06,Others,0.06884681583476765
206,MOTRX,AMJEVITA,2023-10-13,Others,0.053085357593951936
207,MOTRX,AMJEVITA,2023-10-20,Others,0.05075668429114763
208,MOTRX,AMJEVITA,2023-10-27,Others,0.06937743357732194
209,MOTRX,AMJEVITA,2023-11-03,Others,0.0603380774722491
210,MOTRX,AMJEVITA,2023-11-10,Others,0.057526667880119814
211,MOTRX,AMJEVITA,2023-11-17,Others,0.043359023554789544
212,MOTRX,AMJEVITA,2023-11-24,Others,0.08431551405458605
213,MOTRX,AMJEVITA,2023-12-01,Others,0.0557658074234014
214,MOTRX,AMJEVITA,2023-12-08,Others,0.06419470830862939
215,MOTRX,AMJEVITA,2023-12-15,Others,0.054326070795448045
216,MOTRX,AMJEVITA,2023-12-22,Others,0.05193954934802771
217,MOTRX,AMJEVITA,2023-12-29,Others,0.046890210649174584
218,MOTRX,AMJEVITA,2024-01-05,Others,0.07121248486734696
219,MOTRX,AMJEVITA,2024-01-12,Others,0.038699515237651236
220,MOTRX,AMJEVITA,2024-01-19,Others,0.049561326572945645
221,MOTRX,AMJEVITA,2024-01-26,Others,0.03495614592602009
222,MOTRX,AMJEVITA,2024-02-02,Others,0.06604063760878612
223,MOTRX,AVSOLA,2023-01-06,Others,0.2361194866524542
224,MOTRX,AVSOLA,2023-01-13,Others,0.24904270414212687
225,MOTRX,AVSOLA,2023-01-20,Others,0.3727640020943554
226,MOTRX,AVSOLA,2023-01-27,Others,0.3127160040187989
227,MOTRX,AVSOLA,2023-02-03,Others,0.40547200724628024
228,MOTRX,AVSOLA,2023-02-10,Others,0.19741119451504224
229,MOTRX,AVSOLA,2023-02-17,Others,0.33949643465640184
230,MOTRX,AVSOLA,2023-02-24,Others,0.3180758646454335
231,MOTRX,AVSOLA,2023-03-03,Others,0.3095769904000341
232,MOTRX,AVSOLA,2023-03-10,Others,0.3053758828604435
233,MOTRX,AVSOLA,2023-03-17,Others,0.3062006242255686
234,MOTRX,AVSOLA,2023-03-24,Others,0.36508406054331216
235,MOTRX,AVSOLA,2023-03-31,Others,0.3116557805593784
236,MOTRX,AVSOLA,2023-04-07,Others,0.2592660662868345
237,MOTRX,AVSOLA,2023-04-14,Others,0.37369280410527544
238,MOTRX,AVSOLA,2023-04-21,Others,0.2748575016552529
239,MOTRX,AVSOLA,2023-04-28,Others,0.39729563497246473
240,MOTRX,AVSOLA,2023-05-05,Others,0.3364979050442061
241,MOTRX,AVSOLA,2023-05-12,Others,0.3440253089134475
242,MOTRX,AVSOLA,2023-05-19,Others,0.3514921815521155
243,MOTRX,AVSOLA,2023-05-26,Others,0.2837507511713755
244,MOTRX,AVSOLA,2023-06-02,Others,0.24486198807880968
245,MOTRX,AVSOLA,2023-06-09,Others,0.41026357350612014
246,MOTRX,AVSOLA,2023-06-16,Others,0.39113459701105224
247,MOTRX,AVSOLA,2023-06-23,Others,0.38368191022369874
248,MOTRX,AVSOLA,2023-06-30,Others,0.274425765187572
249,MOTRX,AVSOLA,2023-07-07,Others,0.49602008143041904
250,MOTRX,AVSOLA,2023-07-14,Others,0.3638349852934791
251,MOTRX,AVSOLA,2023-07-21,Others,0.30890498508734554
252,MOTRX,AVSOLA,2023-07-28,Others,0.3424384805287887
253,MOTRX,AVSOLA,2023-08-04,Others,0.3173683201914493
254,MOTRX,AVSOLA,2023-08-11,Others,0.40000648909715797
255,MOTRX,AVSOLA,2023-08-18,Others,0.39072891726523007
256,MOTRX,AVSOLA,2023-08-25,Others,0.3266154815738266
257,MOTRX,AVSOLA,2023-09-01,Others,0.45540718760303334
258,MOTRX,AVSOLA,2023-09-08,Others,0.5154186614608349
259,MOTRX,AVSOLA,2023-09-15,Others,0.31278611924209687
260,MOTRX,AVSOLA,2023-09-22,Others,0.29626000104348854
261,MOTRX,AVSOLA,2023-09-29,Others,0.26868119809173974
262,MOTRX,AVSOLA,2023-10-06,Others,0.41777499608824914
263,MOTRX,AVSOLA,2023-10-13,Others,0.4345219572022186
264,MOTRX,AVSOLA,2023-10-20,Others,0.4454297361335242
265,MOTRX,AVSOLA,2023-10-27,Others,0.46598132910891804
266,MOTRX,AVSOLA,2023-11-03,Others,0.3878218414628529
267,MOTRX,AVSOLA,2023-11-10,Others,0.27459995370900947
268,MOTRX,AVSOLA,2023-11-17,Others,0.3297453741341745
269,MOTRX,AVSOLA,2023-11-24,Others,0.41677668691039155
270,MOTRX,AVSOLA,2023-12-01,Others,0.2881564141593552
271,MOTRX,AVSOLA,2023-12-08,Others,0.382822263833853
272,MOTRX,AVSOLA,2023-12-15,Others,0.3151791880561824
